Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","16,429",238,"9,866","26,533","9,473",238,"9,587","19,298","6,956",0,279,"7,235",72.70%,57.70%,100.00%,97.20%,"5,443",0,7,"5,450","3,161","8,611","1,535",111
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","21,922",0,"15,073","36,995","4,770",0,"7,266","12,036","2,913",0,192,"3,105",79.50%,62.10%,-,97.40%,"5,981",0,0,"5,981","2,466","8,447",804,3
QHL,NHS Birmingham And Solihull Integrated Care Board,"34,327",0,"16,538","50,865","19,866",0,"16,538","36,404","14,461",0,0,"14,461",71.60%,57.90%,-,100.00%,"10,312",0,0,"10,312","4,474","14,786","4,308",858
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","21,013","2,147","7,364","30,524","15,025","2,096","7,153","24,274","5,988",51,211,"6,250",79.50%,71.50%,97.60%,97.10%,"7,523",8,0,"7,531","2,766","10,297","1,933",326
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","31,427","5,134","7,715","44,276","20,604","5,116","7,389","33,109","10,823",18,326,"11,167",74.80%,65.60%,99.60%,95.80%,"8,976",868,57,"9,901","5,504","15,405","1,473",290
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"20,613",0,"9,930","30,543","6,735",0,"3,830","10,565","4,729",0,510,"5,239",66.90%,58.70%,-,88.20%,"5,271",0,137,"5,408","1,592","7,000","1,987",958
QYG,NHS Cheshire And Merseyside Integrated Care Board,"69,959","1,436","44,302","115,697","40,622","1,299","43,174","85,095","29,337",137,"1,128","30,602",73.50%,58.10%,90.50%,97.50%,"20,942",75,0,"21,017","6,253","27,270","8,010","3,071"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,869",0,"10,527","16,396","2,340",0,"10,230","12,570","3,529",0,297,"3,826",76.70%,39.90%,-,97.20%,"2,110",0,40,"2,150","1,097","3,247","1,083",597
QWU,NHS Coventry And Warwickshire Integrated Care Board,"23,108","1,606","9,806","34,520","15,544","1,516","9,737","26,797","7,564",90,69,"7,723",77.60%,67.30%,94.40%,99.30%,"5,761",73,58,"5,892","2,186","8,078","1,420",8
QHM,NHS North East And North Cumbria Integrated Care Board,"71,715","2,878","54,304","128,897","41,960","2,778","43,555","88,293","25,523",100,392,"26,015",77.20%,62.20%,96.50%,99.10%,"23,601",45,"1,014","24,660","10,128","34,788","6,054",471
QJK,NHS Devon Integrated Care Board,"25,733",206,"12,292","38,231","9,245",0,"8,422","17,667","8,445",0,288,"8,733",66.90%,52.30%,-,96.70%,"7,426",0,956,"8,382","2,825","11,207","2,655",772
QVV,NHS Dorset Integrated Care Board,"17,018",0,"4,698","21,716","3,068",0,"3,368","6,436","1,329",0,4,"1,333",82.80%,69.80%,-,99.90%,"5,300",9,5,"5,314","2,357","7,671","1,149",172
QMF,NHS North East London Integrated Care Board,"42,001","2,865","31,705","76,571","25,155","2,402","26,614","54,171","16,846",463,"5,091","22,400",70.70%,59.90%,83.80%,83.90%,"11,091",0,0,"11,091","1,549","12,640","4,641","1,102"
QNQ,NHS Frimley Integrated Care Board,"20,064",0,"2,253","22,317",0,0,"2,222","2,222",0,0,31,31,98.60%,-,-,98.60%,"5,163",0,0,"5,163",234,"5,397","1,339",0
QR1,NHS Gloucestershire Integrated Care Board,"11,673",0,"6,099","17,772","7,343",0,"6,090","13,433","4,330",0,9,"4,339",75.60%,62.90%,-,99.90%,"2,527",0,0,"2,527","1,451","3,978","1,096",630
