Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,075",234,"9,207","26,516","9,656",234,"9,033","18,923","7,419",0,174,"7,593",71.40%,56.60%,100.00%,98.10%,"5,522",0,3,"5,525","3,256","8,781","1,733",66
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","23,015",0,"12,432","35,447","5,378",0,"7,066","12,444","2,534",0,68,"2,602",82.70%,68.00%,-,99.00%,"5,678",0,0,"5,678","1,923","7,601",774,7
QHL,NHS Birmingham And Solihull Integrated Care Board,"34,661",0,"12,255","46,916","19,974",0,"12,255","32,229","14,687",0,0,"14,687",68.70%,57.60%,-,100.00%,"9,263",0,0,"9,263","5,220","14,483","4,456",525
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","21,951","2,070","4,688","28,709","12,832","2,009","4,653","19,494","9,119",61,35,"9,215",67.90%,58.50%,97.10%,99.30%,"6,820",9,0,"6,829","2,375","9,204","2,672",815
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","31,445","4,746","2,657","38,848","20,138","4,733","2,606","27,477","11,307",13,51,"11,371",70.70%,64.00%,99.70%,98.10%,"9,467",858,16,"10,341","5,653","15,994","1,943",0
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"20,610",0,"10,425","31,035","4,675",0,"3,741","8,416","6,741",0,753,"7,494",52.90%,41.00%,-,83.20%,"4,844",0,85,"4,929","1,882","6,811","2,415",942
QYG,NHS Cheshire And Merseyside Integrated Care Board,"69,689","1,529","46,432","117,650","38,704","1,409","45,197","85,310","30,985",120,"1,235","32,340",72.50%,55.50%,92.20%,97.30%,"20,696",89,0,"20,785","6,334","27,119","7,857","2,047"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,456",0,"12,406","18,862","2,938",0,"11,455","14,393","3,518",0,951,"4,469",76.30%,45.50%,-,92.30%,"1,852",0,37,"1,889","1,146","3,035","1,111",678
QWU,NHS Coventry And Warwickshire Integrated Care Board,"23,817","1,615","6,009","31,441","14,201","1,492","5,937","21,630","9,616",123,72,"9,811",68.80%,59.60%,92.40%,98.80%,"6,615",79,11,"6,705","2,297","9,002","1,794",4
QHM,NHS North East And North Cumbria Integrated Care Board,"70,615","2,898","53,920","127,433","40,888","2,782","43,178","86,848","25,966",116,486,"26,568",76.60%,61.20%,96.00%,98.90%,"24,314",44,660,"25,018","10,176","35,194","6,633",754
QJK,NHS Devon Integrated Care Board,"25,935",187,"12,908","39,030","8,185",0,"8,136","16,321","10,013",0,328,"10,341",61.20%,45.00%,-,96.10%,"7,090",0,988,"8,078","3,288","11,366","3,275","1,203"
QVV,NHS Dorset Integrated Care Board,"18,239",0,"3,025","21,264","2,615",0,"3,023","5,638","2,044",0,2,"2,046",73.40%,56.10%,-,99.90%,"4,751",8,0,"4,759","2,233","6,992","1,093",103
