Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","18,051",264,"10,502","28,817","10,341",264,"10,255","20,860","7,710",0,247,"7,957",72.40%,57.30%,100.00%,97.60%,"6,542",0,6,"6,548","3,700","10,248","1,693",73
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,013",0,"17,104","41,117","14,261",0,"16,770","31,031","9,752",0,334,"10,086",75.50%,59.40%,-,98.00%,"7,054",0,0,"7,054","2,697","9,751",880,12
QHL,NHS Birmingham And Solihull Integrated Care Board,"38,610",0,"18,004","56,614","20,627",0,"17,991","38,618","17,983",0,13,"17,996",68.20%,53.40%,-,99.90%,"11,751",0,1,"11,752","5,502","17,254","4,874","1,964"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","23,213","1,955","7,159","32,327","14,268","1,876","6,577","22,721","8,945",79,582,"9,606",70.30%,61.50%,96.00%,91.90%,"7,787",7,0,"7,794","3,500","11,294","2,523",645
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","35,574","4,593","7,006","47,173","20,481","4,588","6,640","31,709","15,093",5,366,"15,464",67.20%,57.60%,99.90%,94.80%,"10,880",892,51,"11,823","6,085","17,908","2,664",358
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"23,211",0,"9,935","33,146","10,901",0,"9,080","19,981","12,310",0,855,"13,165",60.30%,47.00%,-,91.40%,"5,966",0,158,"6,124","1,851","7,975","2,467","1,286"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"73,499","1,519","45,873","120,891","40,425","1,405","42,084","83,914","33,074",114,"3,789","36,977",69.40%,55.00%,92.50%,91.70%,"22,704",91,0,"22,795","7,446","30,241","9,569","4,416"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,954",0,"10,022","15,976","2,415",0,"9,450","11,865","3,539",0,572,"4,111",74.30%,40.60%,-,94.30%,"2,150",0,48,"2,198","1,133","3,331","1,132",615
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,631","1,661","9,438","36,730","15,141","1,534","9,191","25,866","10,490",127,247,"10,864",70.40%,59.10%,92.40%,97.40%,"6,384",70,96,"6,550","2,177","8,727","1,484",132
QHM,NHS North East And North Cumbria Integrated Care Board,"78,379","2,451","60,178","141,008","42,383","2,372","59,452","104,207","35,996",79,726,"36,801",73.90%,54.10%,96.80%,98.80%,"26,518",34,703,"27,255","11,257","38,512","7,318",901
QJK,NHS Devon Integrated Care Board,"27,202",121,"11,513","38,836","13,455",121,"11,081","24,657","13,747",0,432,"14,179",63.50%,49.50%,100.00%,96.20%,"8,999",0,0,"8,999","4,409","13,408","3,156",839
QVV,NHS Dorset Integrated Care Board,"18,104",0,"6,769","24,873","9,645",0,"6,764","16,409","8,459",0,5,"8,464",66.00%,53.30%,-,99.90%,"5,830",8,1,"5,839","2,476","8,315","1,664",295
QMF,NHS North East London Integrated Care Board,"48,107","2,947","31,574","82,628","27,592","2,598","27,954","58,144","20,515",349,"3,620","24,484",70.40%,57.40%,88.20%,88.50%,"14,750",0,0,"14,750","1,781","16,531","3,672","1,311"
QNQ,NHS Frimley Integrated Care Board,"21,971",0,"1,968","23,939","11,995",0,"1,966","13,961","9,976",0,2,"9,978",58.30%,54.60%,-,99.90%,"6,554",0,0,"6,554",284,"6,838","2,015",43
QR1,NHS Gloucestershire Integrated Care Board,"11,637",0,"7,151","18,788","6,707",0,"7,136","13,843","4,930",0,15,"4,945",73.70%,57.60%,-,99.80%,"2,840",0,0,"2,840","1,850","4,690","1,406",905
QOP,NHS Greater Manchester Integrated Care Board,"84,535","3,391","31,305","119,231","41,641","3,280","28,778","73,699","42,894",111,"2,527","45,532",61.80%,49.30%,96.70%,91.90%,"22,454",170,726,"23,350","5,293","28,643","10,925","3,051"
