Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","15,293",233,"9,153","24,679","8,829",233,"8,888","17,950","6,464",0,265,"6,729",72.70%,57.70%,100.00%,97.10%,"5,413",0,11,"5,424","3,681","9,105","1,728",262
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","22,278",0,"14,914","37,192","5,424",0,"7,553","12,977","2,339",0,201,"2,540",83.60%,69.90%,-,97.40%,"5,992",0,0,"5,992","2,554","8,546",871,36
QHL,NHS Birmingham And Solihull Integrated Care Board,"34,258",0,"17,614","51,872","20,208",0,"17,614","37,822","14,050",0,0,"14,050",72.90%,59.00%,-,100.00%,"10,023",0,0,"10,023","5,336","15,359","4,755","1,493"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","20,042","2,026","6,945","29,013","12,651","1,974","6,787","21,412","7,391",52,158,"7,601",73.80%,63.10%,97.40%,97.70%,"7,394",15,0,"7,409","3,055","10,464","2,927","1,318"
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","31,105","5,058","8,257","44,420","19,144","5,029","7,858","32,031","11,961",29,399,"12,389",72.10%,61.50%,99.40%,95.20%,"9,521",929,66,"10,516","5,688","16,204","2,420",291
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"20,642",0,"9,411","30,053","6,160",0,"3,465","9,625","5,216",0,459,"5,675",62.90%,54.10%,-,88.30%,"5,859",0,149,"6,008","1,928","7,936","2,279","1,080"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"66,248","1,621","44,371","112,240","37,013","1,461","43,114","81,588","29,235",160,"1,257","30,652",72.70%,55.90%,90.10%,97.20%,"20,868",87,0,"20,955","6,760","27,715","9,783","4,524"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,255",0,"8,845","14,100","2,288",0,"8,566","10,854","2,967",0,279,"3,246",77.00%,43.50%,-,96.80%,"1,874",0,46,"1,920","1,320","3,240","1,107",645
QWU,NHS Coventry And Warwickshire Integrated Care Board,"23,270","1,687","9,581","34,538","14,020","1,574","9,378","24,972","9,250",113,203,"9,566",72.30%,60.20%,93.30%,97.90%,"6,134",87,99,"6,320","2,368","8,688","2,193",141
QHM,NHS North East And North Cumbria Integrated Care Board,"67,936","2,817","51,391","122,144","38,033","2,738","40,361","81,132","26,159",79,494,"26,732",75.20%,59.20%,97.20%,98.80%,"23,915",49,770,"24,734","11,596","36,330","7,295","1,591"
QJK,NHS Devon Integrated Care Board,"22,807",179,"11,860","34,846","7,564",0,"7,770","15,334","8,018",0,231,"8,249",65.00%,48.50%,-,97.10%,"6,779",0,"1,117","7,896","3,514","11,410","3,127","1,455"
QVV,NHS Dorset Integrated Care Board,"15,322",0,"2,872","18,194","2,134",0,"2,867","5,001","1,720",0,5,"1,725",74.40%,55.40%,-,99.80%,"4,811",8,3,"4,822","2,498","7,320","1,493",255
