Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,709",313,"10,283","28,305","10,699",313,"9,989","21,001","7,010",0,294,"7,304",74.20%,60.40%,100.00%,97.10%,"5,978",0,2,"5,980","3,723","9,703","1,245",87
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,256",0,"15,012","39,268","15,467",0,"14,864","30,331","8,789",0,148,"8,937",77.20%,63.80%,-,99.00%,"6,474",0,0,"6,474","2,453","8,927",773,0
QHL,NHS Birmingham And Solihull Integrated Care Board,"37,513",0,"18,179","55,692","20,931",0,"18,141","39,072","16,582",0,38,"16,620",70.20%,55.80%,-,99.80%,"11,960",0,1,"11,961","5,106","17,067","4,925","1,097"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","22,855","2,232","7,624","32,711","16,443","2,115","7,368","25,926","6,412",117,256,"6,785",79.30%,71.90%,94.80%,96.60%,"7,558",10,0,"7,568","3,092","10,660","1,153",46
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","34,158","5,478","9,288","48,924","22,275","5,461","8,904","36,640","11,883",17,384,"12,284",74.90%,65.20%,99.70%,95.90%,"9,978",913,54,"10,945","5,959","16,904","1,201",123
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"23,084",0,"11,329","34,413","13,036",0,"10,753","23,789","10,048",0,576,"10,624",69.10%,56.50%,-,94.90%,"5,969",0,130,"6,099","1,776","7,875","1,749",629
QYG,NHS Cheshire And Merseyside Integrated Care Board,"73,441","1,564","45,657","120,662","43,220","1,452","44,373","89,045","30,221",112,"1,284","31,617",73.80%,58.80%,92.80%,97.20%,"22,737",79,0,"22,816","7,066","29,882","9,015","2,948"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,862",0,"12,765","19,627","3,257",0,"12,246","15,503","3,605",0,519,"4,124",79.00%,47.50%,-,95.90%,"2,254",0,44,"2,298","1,238","3,536","1,004",435
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,003","1,764","9,237","36,004","16,207","1,626","9,081","26,914","8,796",138,156,"9,090",74.80%,64.80%,92.20%,98.30%,"5,740",88,77,"5,905","2,207","8,112",972,2
QHM,NHS North East And North Cumbria Integrated Care Board,"76,360","3,097","57,749","137,206","47,371","3,004","57,053","107,428","28,989",93,696,"29,778",78.30%,62.00%,97.00%,98.80%,"24,682",40,652,"25,374","11,700","37,074","5,326",254
QJK,NHS Devon Integrated Care Board,"29,124",273,"14,319","43,716","14,050",272,"13,557","27,879","15,074",1,762,"15,837",63.80%,48.20%,99.60%,94.70%,"8,807",0,0,"8,807","4,511","13,318","2,146",269
QVV,NHS Dorset Integrated Care Board,"18,679",0,"7,685","26,364","9,854",0,"7,681","17,535","8,825",0,4,"8,829",66.50%,52.80%,-,99.90%,"5,525",3,2,"5,530","2,661","8,191",286,22
QMF,NHS North East London Integrated Care Board,"46,183","3,383","32,136","81,702","28,634","2,889","25,504","57,027","17,549",494,"6,632","24,675",69.80%,62.00%,85.40%,79.40%,"13,885",0,0,"13,885","1,709","15,594","2,764",601
QNQ,NHS Frimley Integrated Care Board,"21,913",0,"2,815","24,728","13,858",0,"2,748","16,606","8,055",0,67,"8,122",67.20%,63.20%,-,97.60%,"5,867",0,0,"5,867",313,"6,180","1,351",0
QR1,NHS Gloucestershire Integrated Care Board,"12,737",0,"7,095","19,832","7,960",0,"7,085","15,045","4,777",0,10,"4,787",75.90%,62.50%,-,99.90%,"2,590",0,0,"2,590","1,465","4,055","1,297",712
QOP,NHS Greater Manchester Integrated Care Board,"83,291","3,822","31,746","118,859","49,734","3,665","29,183","82,582","33,557",157,"2,563","36,277",69.50%,59.70%,95.90%,91.90%,"21,891",184,791,"22,866","5,265","28,131","8,534","1,404"
