Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,993",318,"10,816","29,127","10,534",318,"10,229","21,081","7,459",0,587,"8,046",72.40%,58.50%,100.00%,94.60%,"5,812",0,5,"5,817","3,547","9,364","1,407",147
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","27,562",0,"15,355","42,917","17,919",0,"15,159","33,078","9,643",0,196,"9,839",77.10%,65.00%,-,98.70%,"6,207",0,0,"6,207","2,651","8,858",691,0
QHL,NHS Birmingham And Solihull Integrated Care Board,"38,778",0,"15,981","54,759","22,014",0,"15,979","37,993","16,764",0,2,"16,766",69.40%,56.80%,-,100.00%,"11,226",0,1,"11,227","5,399","16,626","4,688","1,143"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","23,349","2,314","8,864","34,527","16,549","2,218","8,231","26,998","6,800",96,633,"7,529",78.20%,70.90%,95.90%,92.90%,"7,492",14,0,"7,506","3,258","10,764","1,707",224
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","35,460","5,487","10,311","51,258","22,183","5,467","9,624","37,274","13,277",20,687,"13,984",72.70%,62.60%,99.60%,93.30%,"9,789",915,54,"10,758","5,957","16,715","1,656",346
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"22,537",0,"12,187","34,724","11,873",0,"11,355","23,228","10,664",0,832,"11,496",66.90%,52.70%,-,93.20%,"5,625",0,137,"5,762","1,880","7,642","2,217",873
QYG,NHS Cheshire And Merseyside Integrated Care Board,"75,225","1,570","47,092","123,887","45,213","1,507","45,525","92,245","30,012",63,"1,567","31,642",74.50%,60.10%,96.00%,96.70%,"22,256",92,0,"22,348","7,402","29,750","8,580","3,189"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,507",0,"12,956","19,463","3,061",0,"12,398","15,459","3,446",0,558,"4,004",79.40%,47.00%,-,95.70%,"2,169",0,37,"2,206","1,148","3,354",971,407
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,893","1,812","9,865","37,570","16,543","1,666","9,547","27,756","9,350",146,318,"9,814",73.90%,63.90%,91.90%,96.80%,"5,685",83,65,"5,833","1,966","7,799",949,1
QHM,NHS North East And North Cumbria Integrated Care Board,"75,809","3,050","57,955","136,814","45,926","2,940","57,203","106,069","29,883",110,752,"30,745",77.50%,60.60%,96.40%,98.70%,"24,319",44,"1,215","25,578","11,445","37,023","5,259",270
