Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,160",312,"9,809","27,281","9,590",312,"9,518","19,420","7,570",0,291,"7,861",71.20%,55.90%,100.00%,97.00%,"5,558",0,9,"5,567","3,740","9,307","1,774",210
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,501",0,"16,613","41,114","5,737",0,"7,890","13,627","2,620",0,201,"2,821",82.80%,68.60%,-,97.50%,"6,380",0,0,"6,380","2,876","9,256",761,29
QHL,NHS Birmingham And Solihull Integrated Care Board,"37,118",0,"16,181","53,299","20,295",0,"16,181","36,476","16,823",0,0,"16,823",68.40%,54.70%,-,100.00%,"10,625",0,0,"10,625","5,688","16,313","4,927","1,356"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","22,554","2,374","7,237","32,165","15,311","2,312","6,969","24,592","7,243",62,268,"7,573",76.50%,67.90%,97.40%,96.30%,"7,933",4,0,"7,937","3,317","11,254","2,498",680
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","34,832","5,909","8,619","49,360","21,178","5,846","8,224","35,248","13,654",63,395,"14,112",71.40%,60.80%,98.90%,95.40%,"9,731",980,64,"10,775","6,033","16,808","2,388",339
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"22,754",0,"11,090","33,844","6,591",0,"4,472","11,063","5,802",0,606,"6,408",63.30%,53.20%,-,88.10%,"5,853",0,134,"5,987","1,865","7,852","2,502","1,173"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"74,306","1,610","47,235","123,151","41,612","1,386","45,695","88,693","32,694",224,"1,540","34,458",72.00%,56.00%,86.10%,96.70%,"22,222",113,0,"22,335","7,416","29,751","9,767","4,319"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,663",0,"10,501","16,164","2,341",0,"10,090","12,431","3,322",0,411,"3,733",76.90%,41.30%,-,96.10%,"1,924",0,54,"1,978","1,363","3,341","1,140",719
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,340","1,846","10,684","37,870","15,711","1,724","10,453","27,888","9,629",122,231,"9,982",73.60%,62.00%,93.40%,97.80%,"6,119",77,94,"6,290","2,517","8,807","2,109",58
QHM,NHS North East And North Cumbria Integrated Care Board,"74,969","3,263","56,875","135,107","41,604","3,191","45,413","90,208","29,153",72,464,"29,689",75.20%,58.80%,97.80%,99.00%,"24,707",41,734,"25,482","11,986","37,468","7,421",772
QJK,NHS Devon Integrated Care Board,"26,288",254,"12,723","39,265","8,438",0,"8,536","16,974","9,548",0,310,"9,858",63.30%,46.90%,-,96.50%,"7,525",0,"1,097","8,622","3,501","12,123","3,409","1,593"
QVV,NHS Dorset Integrated Care Board,"17,594",0,"3,260","20,854","2,382",0,"3,258","5,640","1,989",0,2,"1,991",73.90%,54.50%,-,99.90%,"5,099",7,1,"5,107","3,000","8,107","1,372",202
QMF,NHS North East London Integrated Care Board,"46,251","3,351","35,366","84,968","25,140","2,960","28,356","56,456","21,111",391,"7,010","28,512",66.40%,54.40%,88.30%,80.20%,"11,526",0,0,"11,526","1,846","13,372","5,684","1,602"
QNQ,NHS Frimley Integrated Care Board,"21,586",0,"2,654","24,240",0,0,"2,541","2,541",0,0,113,113,95.70%,-,-,95.70%,"5,361",0,0,"5,361","1,514","6,875","2,282",0
QR1,NHS Gloucestershire Integrated Care Board,"12,490",0,"6,103","18,593","7,360",0,"6,087","13,447","5,130",0,16,"5,146",72.30%,58.90%,-,99.70%,"2,736",0,0,"2,736","1,626","4,362","1,126",636
