Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,996",258,"10,697","28,951","10,225",258,"10,238","20,721","7,771",0,459,"8,230",71.60%,56.80%,100.00%,95.70%,"5,869",0,8,"5,877","3,628","9,505","1,621",200
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,716",0,"15,684","40,400","5,177",0,"7,448","12,625","3,570",0,89,"3,659",77.50%,59.20%,-,98.80%,"6,318",0,0,"6,318","2,864","9,182",831,0
QHL,NHS Birmingham And Solihull Integrated Care Board,"38,872",0,"17,855","56,727","22,770",0,"17,855","40,625","16,102",0,0,"16,102",71.60%,58.60%,-,100.00%,"11,493",0,0,"11,493","4,930","16,423","4,607","1,127"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","24,411","2,317","8,856","35,584","16,135","2,195","8,333","26,663","8,276",122,523,"8,921",74.90%,66.10%,94.70%,94.10%,"7,789",10,0,"7,799","3,082","10,881","2,308",474
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","34,580","5,336","8,913","48,829","22,353","5,314","8,329","35,996","12,227",22,584,"12,833",73.70%,64.60%,99.60%,93.40%,"9,875",844,70,"10,789","6,010","16,799","1,674",360
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"22,612",0,"11,312","33,924","6,657",0,"4,315","10,972","5,706",0,780,"6,486",62.80%,53.80%,-,84.70%,"5,752",0,111,"5,863","1,800","7,663","1,182",588
QYG,NHS Cheshire And Merseyside Integrated Care Board,"75,270","1,554","47,134","123,958","44,181","1,465","45,740","91,386","31,089",89,"1,394","32,572",73.70%,58.70%,94.30%,97.00%,"21,985",94,0,"22,079","7,361","29,440","8,533","3,512"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,393",0,"12,274","18,667","2,950",0,"11,812","14,762","3,443",0,462,"3,905",79.10%,46.10%,-,96.20%,"2,101",0,42,"2,143","1,129","3,272",984,467
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,681","1,785","9,306","36,772","16,603","1,601","9,204","27,408","9,078",184,102,"9,364",74.50%,64.70%,89.70%,98.90%,"5,722",87,81,"5,890","2,319","8,209","1,189",3
QHM,NHS North East And North Cumbria Integrated Care Board,"78,274","3,089","61,743","143,106","45,579","2,983","49,631","98,193","28,263",106,609,"28,978",77.20%,61.70%,96.60%,98.80%,"25,174",51,720,"25,945","11,325","37,270","6,249",420
QJK,NHS Devon Integrated Care Board,"27,687",247,"14,256","42,190","9,836",0,"9,716","19,552","9,807",0,245,"10,052",66.00%,50.10%,-,97.50%,"7,787",0,"1,043","8,830","3,173","12,003","3,178",829
QVV,NHS Dorset Integrated Care Board,"18,578",0,"7,625","26,203","3,005",0,"3,680","6,685","1,730",0,6,"1,736",79.40%,63.50%,-,99.80%,"5,831",5,3,"5,839","2,635","8,474","1,007",74
QMF,NHS North East London Integrated Care Board,"46,513","3,178","35,799","85,490","26,574","2,667","27,830","57,071","19,939",511,"7,969","28,419",66.80%,57.10%,83.90%,77.70%,"12,712",0,0,"12,712","1,739","14,451","3,899","1,461"
QNQ,NHS Frimley Integrated Care Board,"21,997",0,"2,822","24,819",0,0,"2,759","2,759",0,0,63,63,97.80%,-,-,97.80%,"5,701",0,0,"5,701",329,"6,030","2,086",0
QR1,NHS Gloucestershire Integrated Care Board,"12,953",0,"6,996","19,949","7,977",0,"6,986","14,963","4,976",0,10,"4,986",75.00%,61.60%,-,99.90%,"2,541",0,0,"2,541","1,479","4,020","1,482","1,113"
QOP,NHS Greater Manchester Integrated Care Board,"86,884","3,778","31,966","122,628","51,858","3,719","29,981","85,558","35,026",59,"1,985","37,070",69.80%,59.70%,98.40%,93.80%,"22,588",188,864,"23,640","5,003","28,643","7,944","1,308"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"38,384","2,190","24,343","64,917","17,724","1,405","19,507","38,636","9,933",53,976,"10,962",77.90%,64.10%,96.40%,95.20%,"12,195",12,5,"12,212","5,113","17,325","3,353",434
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"43,829",0,"28,401","72,230","28,432",0,"27,609","56,041","15,397",0,792,"16,189",77.60%,64.90%,-,97.20%,"12,158",0,247,"12,405","5,114","17,519","5,393","2,445"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,424",0,"6,438","24,862","9,557",0,"6,429","15,986","8,867",0,9,"8,876",64.30%,51.90%,-,99.90%,"4,881",0,0,"4,881","1,784","6,665","1,623",512
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"27,754",0,"18,025","45,779","13,670",0,"17,532","31,202","14,084",0,493,"14,577",68.20%,49.30%,-,97.30%,"8,240",0,0,"8,240","1,566","9,806","1,785",134
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"40,224",438,"23,622","64,284","23,323",438,"21,867","45,628","16,901",0,"1,755","18,656",71.00%,58.00%,100.00%,92.60%,"13,192",2,0,"13,194","4,376","17,570","4,537","1,769"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"21,689",0,"29,127","50,816","10,433",0,"27,694","38,127","11,256",0,"1,433","12,689",75.00%,48.10%,-,95.10%,"6,481",0,472,"6,953","2,768","9,721","2,278",676
QKS,NHS Kent And Medway Integrated Care Board,"49,836",0,"41,759","91,595","34,525",0,"40,434","74,959","15,311",0,"1,325","16,636",81.80%,69.30%,-,96.80%,"14,650",0,410,"15,060","4,297","19,357","3,895","1,248"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","21,003","1,932","12,558","35,493","10,752","1,842","12,513","25,107","10,251",90,45,"10,386",70.70%,51.20%,95.30%,99.60%,"5,100",3,0,"5,103","3,220","8,323","2,557","1,046"
QJM,NHS Lincolnshire Integrated Care Board,"12,369",0,"15,312","27,681","5,497",0,"13,965","19,462","6,872",0,"1,347","8,219",70.30%,44.40%,-,91.20%,"3,950",0,0,"3,950","1,183","5,133","1,617",798
QH8,NHS Mid And South Essex Integrated Care Board,"31,550",0,"2,078","33,628","21,114",0,"2,007","23,121","10,436",0,71,"10,507",68.80%,66.90%,-,96.60%,"8,713",0,236,"8,949","1,265","10,214","2,268",9
QMM,NHS Norfolk And Waveney Integrated Care Board,"25,160",0,"9,355","34,515","15,122",0,"9,355","24,477","10,038",0,0,"10,038",70.90%,60.10%,-,100.00%,"6,442",0,0,"6,442","2,694","9,136","3,344","1,031"
QMJ,NHS North Central London Integrated Care Board,"47,749","7,103","15,597","70,449","28,392","6,923","14,454","49,769","19,357",180,"1,143","20,680",70.60%,59.50%,97.50%,92.70%,"7,858",7,0,"7,865","1,201","9,066","3,944","1,614"
QRV,NHS North West London Integrated Care Board,"50,621","4,106","48,121","102,848","9,239",0,"30,651","39,890","9,279",0,601,"9,880",80.10%,49.90%,-,98.10%,"13,893",0,0,"13,893","3,361","17,254","3,253",399
QPM,NHS Northamptonshire Integrated Care Board,"18,354",701,"10,820","29,875","5,203",679,"10,623","16,505","3,640",22,197,"3,859",81.00%,58.80%,96.90%,98.20%,"3,562",0,0,"3,562","1,576","5,138","2,208",791
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"26,679","1,863","11,371","39,913","6,652",0,"10,133","16,785","3,737",0,935,"4,672",78.20%,64.00%,-,91.60%,"7,162",0,0,"7,162","4,343","11,505","3,267",914
QKK,NHS South East London Integrated Care Board,"41,107",856,"39,655","81,618","23,015",856,"36,637","60,508","18,092",0,"3,018","21,110",74.10%,56.00%,100.00%,92.40%,"10,869",0,0,"10,869","2,747","13,616","3,718","1,038"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","11,073",0,"5,998","17,071","5,291",0,"5,771","11,062","5,782",0,227,"6,009",64.80%,47.80%,-,96.20%,"2,604",0,43,"2,647","2,164","4,811","1,081",529
QSL,NHS Somerset Integrated Care Board,"13,102",0,"9,417","22,519","8,568",0,"9,144","17,712","4,534",0,273,"4,807",78.70%,65.40%,-,97.10%,"3,209",0,0,"3,209","1,570","4,779",365,16
QWE,NHS South West London Integrated Care Board,"42,378",274,"16,500","59,152","28,520",273,"16,282","45,075","13,858",1,218,"14,077",76.20%,67.30%,99.60%,98.70%,"7,540",1,157,"7,698","1,638","9,336","3,613","1,875"
QF7,NHS South Yorkshire Integrated Care Board,"44,095","1,128","12,787","58,010","25,484","1,128","12,504","39,116","11,001",0,283,"11,284",77.60%,69.80%,100.00%,97.80%,"13,121",0,461,"13,582","5,468","19,050","2,823",135
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"14,525",489,"8,479","23,493","7,607",489,"8,201","16,297","6,918",0,278,"7,196",69.40%,52.40%,100.00%,96.70%,"5,819",0,0,"5,819","2,725","8,544","1,739",665
QJG,NHS Suffolk And North East Essex Integrated Care Board,"21,395",0,"12,170","33,565","7,778",0,"11,383","19,161","6,587",0,81,"6,668",74.20%,54.10%,-,99.30%,"6,545",0,245,"6,790","1,564","8,354","1,793",210
QXU,NHS Surrey Heartlands Integrated Care Board,"25,864",0,"8,026","33,890","17,518",0,"7,587","25,105","8,346",0,439,"8,785",74.10%,67.70%,-,94.50%,"8,379",0,0,"8,379","2,380","10,759","1,798",187
QNX,NHS Sussex Integrated Care Board,"36,194","1,651","26,450","64,295","22,815","1,642","26,080","50,537","13,379",9,370,"13,758",78.60%,63.00%,99.50%,98.60%,"11,488",34,43,"11,565","2,465","14,030","2,419",806
QUA,NHS Black Country Integrated Care Board,"47,044","1,231","33,051","81,326","29,455","1,050","32,216","62,721","17,589",181,835,"18,605",77.10%,62.60%,85.30%,97.50%,"15,955",0,0,"15,955","3,823","19,778","3,427",111
QWO,NHS West Yorkshire Integrated Care Board,"66,996",322,"22,010","89,328","32,729",322,"15,463","48,514","17,154",0,70,"17,224",73.80%,65.60%,100.00%,99.50%,"14,958",0,287,"15,245","5,230","20,475","5,631",246
