Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,966",301,"9,708","27,975","10,417",301,"9,361","20,079","7,549",0,347,"7,896",71.80%,58.00%,100.00%,96.40%,"6,044",0,4,"6,048","4,042","10,090","1,714",139
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,158",0,"15,806","39,964","15,212",0,"15,542","30,754","8,946",0,264,"9,210",77.00%,63.00%,-,98.30%,"6,971",0,0,"6,971","2,804","9,775",725,0
QHL,NHS Birmingham And Solihull Integrated Care Board,"38,234",0,"16,176","54,410","20,936",0,"16,156","37,092","17,298",0,20,"17,318",68.20%,54.80%,-,99.90%,"11,641",0,0,"11,641","6,015","17,656","4,896","2,089"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","23,974","2,212","7,873","34,059","14,473","2,130","7,014","23,617","9,501",82,859,"10,442",69.30%,60.40%,96.30%,89.10%,"7,929",11,0,"7,940","3,608","11,548","2,698",574
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","36,319","5,357","8,863","50,539","20,366","5,341","8,244","33,951","15,953",16,619,"16,588",67.20%,56.10%,99.70%,93.00%,"10,575","1,033",43,"11,651","6,415","18,066","2,385",322
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"23,951",0,"10,361","34,312","10,629",0,"9,414","20,043","13,322",0,947,"14,269",58.40%,44.40%,-,90.90%,"5,228",0,118,"5,346","1,756","7,102","2,506","1,207"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"73,712","1,622","44,721","120,055","39,825","1,475","41,419","82,719","33,887",147,"3,302","37,336",68.90%,54.00%,90.90%,92.60%,"22,234",87,0,"22,321","8,138","30,459","9,399","4,393"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,708",0,"10,246","15,954","2,555",0,"9,755","12,310","3,153",0,491,"3,644",77.20%,44.80%,-,95.20%,"2,003",0,65,"2,068","1,240","3,308","1,142",730
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,638","1,753","8,891","36,282","15,237","1,655","8,519","25,411","10,401",98,372,"10,871",70.00%,59.40%,94.40%,95.80%,"6,178",54,96,"6,328","2,302","8,630","1,598",58
QHM,NHS North East And North Cumbria Integrated Care Board,"77,123","2,742","55,123","134,988","43,695","2,629","54,589","100,913","33,428",113,534,"34,075",74.80%,56.70%,95.90%,99.00%,"26,107",30,772,"26,909","11,650","38,559","7,107",783
QJK,NHS Devon Integrated Care Board,"26,935",124,"12,130","39,189","12,989",124,"11,511","24,624","13,946",0,619,"14,565",62.80%,48.20%,100.00%,94.90%,"8,607",0,0,"8,607","4,688","13,295","2,907",872
QVV,NHS Dorset Integrated Care Board,"17,228",0,"6,893","24,121","9,470",0,"6,889","16,359","7,758",0,4,"7,762",67.80%,55.00%,-,99.90%,"5,800",3,2,"5,805","2,901","8,706","1,319",126
QMF,NHS North East London Integrated Care Board,"47,167","3,011","29,704","79,882","27,099","2,493","25,575","55,167","20,068",518,"4,129","24,715",69.10%,57.50%,82.80%,86.10%,"14,378",0,0,"14,378","1,922","16,300","4,026","2,017"
QNQ,NHS Frimley Integrated Care Board,"22,419",0,"2,269","24,688","13,118",0,"2,269","15,387","9,301",0,0,"9,301",62.30%,58.50%,-,100.00%,"6,405",0,0,"6,405",299,"6,704","2,358",11
QR1,NHS Gloucestershire Integrated Care Board,"12,452",0,"6,148","18,600","7,199",0,"6,128","13,327","5,253",0,20,"5,273",71.70%,57.80%,-,99.70%,"2,804",0,0,"2,804","1,752","4,556","1,399",912
QOP,NHS Greater Manchester Integrated Care Board,"85,516","3,620","31,739","120,875","44,420","3,455","29,673","77,548","41,096",165,"2,066","43,327",64.20%,51.90%,95.40%,93.50%,"22,348",188,802,"23,338","5,870","29,208","10,562","2,256"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"37,593","2,009","21,082","60,684","20,237","1,925","20,318","42,480","17,356",84,764,"18,204",70.00%,53.80%,95.80%,96.40%,"12,194",14,0,"12,208","5,639","17,847","3,725",265
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"39,491",0,"28,927","68,418","23,251",0,"27,799","51,050","16,240",0,"1,128","17,368",74.60%,58.90%,-,96.10%,"12,222",0,349,"12,571","6,073","18,644","4,814","2,276"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,034",0,"5,140","23,174","8,968",0,"5,125","14,093","9,066",0,15,"9,081",60.80%,49.70%,-,99.70%,"5,264",0,0,"5,264","2,062","7,326","1,939",452
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"26,070",0,"18,599","44,669","10,855",0,"18,314","29,169","15,215",0,285,"15,500",65.30%,41.60%,-,98.50%,"8,157",0,0,"8,157","1,184","9,341","2,491",185
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"40,420",374,"21,107","61,901","21,857",374,"19,861","42,092","18,563",0,"1,246","19,809",68.00%,54.10%,100.00%,94.10%,"13,662",0,0,"13,662","4,469","18,131","5,297","2,192"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"27,668",0,"20,042","47,710","14,873",0,"19,764","34,637","12,795",0,278,"13,073",72.60%,53.80%,-,98.60%,"6,553",0,346,"6,899","3,044","9,943","2,523",711
QKS,NHS Kent And Medway Integrated Care Board,"51,869",0,"39,621","91,490","34,347",0,"38,048","72,395","17,522",0,"1,573","19,095",79.10%,66.20%,-,96.00%,"15,073",0,487,"15,560","3,881","19,441","5,307","2,266"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","21,869","1,833","12,333","36,035","10,522","1,770","12,324","24,616","11,347",63,9,"11,419",68.30%,48.10%,96.60%,99.90%,"5,656",2,0,"5,658","3,308","8,966","3,025","1,387"
QJM,NHS Lincolnshire Integrated Care Board,"10,013",0,"17,370","27,383","3,440",0,"15,782","19,222","6,573",0,"1,588","8,161",70.20%,34.40%,-,90.90%,"4,208",0,0,"4,208","1,101","5,309","1,692",799
QH8,NHS Mid And South Essex Integrated Care Board,"31,709",0,"1,524","33,233","20,469",0,"1,471","21,940","11,240",0,53,"11,293",66.00%,64.60%,-,96.50%,"8,287",0,135,"8,422","1,281","9,703","3,091",14
QMM,NHS Norfolk And Waveney Integrated Care Board,"23,683",0,"9,853","33,536","14,358",0,"9,853","24,211","9,325",0,0,"9,325",72.20%,60.60%,-,100.00%,"6,431",0,0,"6,431","2,817","9,248","2,267",580
QMJ,NHS North Central London Integrated Care Board,"47,838","5,765","15,644","69,247","26,988","5,730","13,587","46,305","20,850",35,"2,057","22,942",66.90%,56.40%,99.40%,86.90%,"8,232",1,0,"8,233","1,251","9,484","4,119","2,028"
QRV,NHS North West London Integrated Care Board,"50,202","3,780","43,706","97,688","27,352","3,744","41,852","72,948","22,850",36,"1,854","24,740",74.70%,54.50%,99.00%,95.80%,"14,886",4,0,"14,890","2,648","17,538","3,742",708
QPM,NHS Northamptonshire Integrated Care Board,"18,734",543,"11,143","30,420","9,631",530,"10,999","21,160","9,103",13,144,"9,260",69.60%,51.40%,97.60%,98.70%,"3,904",0,0,"3,904","1,561","5,465","2,461",836
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"26,240","1,883","10,699","38,822","11,933","1,558","9,053","22,544","14,307",325,"1,646","16,278",58.10%,45.50%,82.70%,84.60%,"7,406",0,0,"7,406","5,162","12,568","2,640","1,123"
QKK,NHS South East London Integrated Care Board,"39,079",801,"39,137","79,017","17,830",801,"35,908","54,539","21,249",0,"3,229","24,478",69.00%,45.60%,100.00%,91.70%,"9,102",0,0,"9,102","2,155","11,257","4,887","1,562"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,104",0,"5,189","15,293","4,163",0,"4,970","9,133","5,941",0,219,"6,160",59.70%,41.20%,-,95.80%,"2,679",0,45,"2,724","2,290","5,014","1,333",862
QSL,NHS Somerset Integrated Care Board,"12,276",0,"8,320","20,596","7,210",0,"8,100","15,310","5,066",0,220,"5,286",74.30%,58.70%,-,97.40%,"3,290",0,0,"3,290","2,147","5,437",350,4
QWE,NHS South West London Integrated Care Board,"42,982",309,"15,289","58,580","26,330",309,"14,986","41,625","16,652",0,303,"16,955",71.10%,61.30%,100.00%,98.00%,"7,876",6,96,"7,978","1,769","9,747","3,816","2,031"
QF7,NHS South Yorkshire Integrated Care Board,"44,176","1,098","12,123","57,397","26,813","1,098","11,886","39,797","17,363",0,237,"17,600",69.30%,60.70%,100.00%,98.00%,"14,093",0,429,"14,522","5,220","19,742","3,905",214
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,400",422,"7,570","21,392","6,112",422,"7,304","13,838","7,288",0,266,"7,554",64.70%,45.60%,100.00%,96.50%,"5,706",0,0,"5,706","3,046","8,752","1,737","1,181"
QJG,NHS Suffolk And North East Essex Integrated Care Board,"21,434",0,"11,831","33,265","11,459",0,"11,649","23,108","9,975",0,182,"10,157",69.50%,53.50%,-,98.50%,"7,199",0,237,"7,436","1,565","9,001","2,386",685
QXU,NHS Surrey Heartlands Integrated Care Board,"27,246",0,"6,250","33,496","15,632",0,"6,014","21,646","11,614",0,236,"11,850",64.60%,57.40%,-,96.20%,"7,813",0,0,"7,813","2,417","10,230","2,739",375
QNX,NHS Sussex Integrated Care Board,"35,796","1,522","23,830","61,148","20,913","1,502","23,489","45,904","14,883",20,341,"15,244",75.10%,58.40%,98.70%,98.60%,"11,244",19,46,"11,309","2,493","13,802","3,909","1,815"
QUA,NHS Black Country Integrated Care Board,"46,019","1,018","28,401","75,438","27,055",845,"27,531","55,431","18,964",173,870,"20,007",73.50%,58.80%,83.00%,96.90%,"15,742",0,0,"15,742","3,930","19,672","7,826","1,019"
QWO,NHS West Yorkshire Integrated Care Board,"63,256",266,"22,675","86,197","36,937",266,"22,303","59,506","26,319",0,372,"26,691",69.00%,58.40%,100.00%,98.40%,"14,624",0,247,"14,871","5,195","20,066","7,510",795
