Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,871",250,"9,959","28,080","9,465",250,"9,590","19,305","8,406",0,369,"8,775",68.80%,53.00%,100.00%,96.30%,"5,590",0,4,"5,594","3,513","9,107","1,965",146
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","25,049",0,"14,598","39,647","6,105",0,"7,802","13,907","2,802",0,160,"2,962",82.40%,68.50%,-,98.00%,"6,053",0,0,"6,053","2,141","8,194",946,13
QHL,NHS Birmingham And Solihull Integrated Care Board,"39,000",0,"16,795","55,795","23,024",0,"16,795","39,819","15,976",0,0,"15,976",71.40%,59.00%,-,100.00%,"10,760",0,0,"10,760","5,968","16,728","5,011","1,384"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","23,567","2,017","4,457","30,041","13,135","1,927","4,449","19,511","10,432",90,8,"10,530",64.90%,55.70%,95.50%,99.80%,"7,345",14,0,"7,359","2,496","9,855","3,181","1,423"
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","35,172","4,901","8,831","48,904","19,641","4,853","8,432","32,926","15,531",48,399,"15,978",67.30%,55.80%,99.00%,95.50%,"9,523",881,71,"10,475","5,750","16,225","2,394",292
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"23,083",0,"10,569","33,652","6,412",0,"3,461","9,873","6,253",0,"1,091","7,344",57.30%,50.60%,-,76.00%,"5,653",0,89,"5,742","2,049","7,791","2,675","1,365"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"75,520","1,524","48,905","125,949","40,297","1,365","47,140","88,802","35,223",159,"1,765","37,147",70.50%,53.40%,89.60%,96.40%,"21,496",95,0,"21,591","6,645","28,236","9,480","3,754"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,697",0,"10,437","16,134","2,396",0,"10,023","12,419","3,301",0,414,"3,715",77.00%,42.10%,-,96.00%,"1,923",0,46,"1,969","1,135","3,104","1,147",708
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,841","1,731","9,165","36,737","15,114","1,637","8,891","25,642","10,727",94,274,"11,095",69.80%,58.50%,94.60%,97.00%,"7,209",84,71,"7,364","2,180","9,544","1,797",4
QHM,NHS North East And North Cumbria Integrated Care Board,"76,360","2,655","56,233","135,248","40,292","2,582","44,230","87,104","32,089",73,701,"32,863",72.60%,55.70%,97.30%,98.40%,"24,767",31,779,"25,577","11,417","36,994","6,606","1,106"
