Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,258",258,"9,557","27,073","9,345",258,"9,338","18,941","7,913",0,219,"8,132",70.00%,54.10%,100.00%,97.70%,"5,570",0,1,"5,571","3,317","8,888","1,878",214
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","23,153",0,"12,127","35,280","5,663",0,"6,510","12,173","2,496",0,58,"2,554",82.70%,69.40%,-,99.10%,"5,727",0,0,"5,727","1,860","7,587",795,7
QHL,NHS Birmingham And Solihull Integrated Care Board,"35,289",0,"12,504","47,793","19,882",0,"12,504","32,386","15,407",0,0,"15,407",67.80%,56.30%,-,100.00%,"9,909",0,0,"9,909","4,887","14,796","4,515",775
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","22,144","2,035","4,479","28,658","12,601","1,923","4,433","18,957","9,543",112,46,"9,701",66.10%,56.90%,94.50%,99.00%,"7,107",14,0,"7,121","2,441","9,562","2,682",978
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","32,165","4,870","3,745","40,780","18,982","4,833","3,698","27,513","13,183",37,47,"13,267",67.50%,59.00%,99.20%,98.70%,"9,719",896,54,"10,669","5,363","16,032","2,082",0
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"21,457",0,"10,697","32,154","6,404",0,"4,054","10,458","5,554",0,735,"6,289",62.40%,53.60%,-,84.70%,"5,594",0,88,"5,682","2,007","7,689","2,417","1,093"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"69,916","1,548","45,158","116,622","38,193","1,422","43,900","83,515","31,723",126,"1,258","33,107",71.60%,54.60%,91.90%,97.20%,"21,092",98,0,"21,190","6,187","27,377","8,516","2,588"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,657",0,"10,187","15,844","2,392",0,"9,690","12,082","3,265",0,497,"3,762",76.30%,42.30%,-,95.10%,"1,859",0,59,"1,918","1,019","2,937","1,153",669
QWU,NHS Coventry And Warwickshire Integrated Care Board,"23,547","1,707","7,474","32,728","14,159","1,598","7,369","23,126","9,388",109,105,"9,602",70.70%,60.10%,93.60%,98.60%,"6,680",77,15,"6,772","2,281","9,053","1,546",0
QHM,NHS North East And North Cumbria Integrated Care Board,"70,699","2,643","51,371","124,713","40,644","2,552","41,213","84,409","26,458",91,289,"26,838",75.90%,60.60%,96.60%,99.30%,"24,364",29,720,"25,113","10,826","35,939","6,534",909
QJK,NHS Devon Integrated Care Board,"24,851",162,"11,157","36,170","7,922",0,"6,881","14,803","9,417",0,191,"9,608",60.60%,45.70%,-,97.30%,"6,844",0,939,"7,783","3,151","10,934","3,082","1,190"
QVV,NHS Dorset Integrated Care Board,"16,897",0,"2,869","19,766","2,102",0,"2,865","4,967","2,073",0,4,"2,077",70.50%,50.30%,-,99.90%,"4,741",10,1,"4,752","2,408","7,160","1,274",138
QMF,NHS North East London Integrated Care Board,"44,897","3,095","29,179","77,171","25,117","2,557","26,278","53,952","19,780",538,"2,901","23,219",69.90%,55.90%,82.60%,90.10%,"11,252",0,0,"11,252","2,024","13,276","5,730","1,195"
QNQ,NHS Frimley Integrated Care Board,"19,420",0,"2,788","22,208",0,0,"2,788","2,788",0,0,0,0,100.00%,-,-,100.00%,"4,003",0,0,"4,003",415,"4,418","1,465",0
QR1,NHS Gloucestershire Integrated Care Board,"11,868",0,"5,585","17,453","6,893",0,"5,564","12,457","4,975",0,21,"4,996",71.40%,58.10%,-,99.60%,"2,190",0,1,"2,191","1,162","3,353",976,642
QOP,NHS Greater Manchester Integrated Care Board,"82,698","3,206","23,342","109,246","39,449","2,667","22,105","64,221","43,249",539,"1,237","45,025",58.80%,47.70%,83.20%,94.70%,"21,098",126,519,"21,743","6,139","27,882","9,484","2,236"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"34,460","2,005","21,302","57,767","15,884","1,284","17,749","34,917","9,230",17,313,"9,560",78.50%,63.20%,98.70%,98.30%,"11,054",6,2,"11,062","5,008","16,070","3,534",117
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"37,210",0,"26,597","63,807","22,239",0,"26,148","48,387","14,971",0,449,"15,420",75.80%,59.80%,-,98.30%,"11,045",0,163,"11,208","4,558","15,766","5,307","2,273"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"17,401",0,"5,387","22,788","8,905",0,"5,386","14,291","8,496",0,1,"8,497",62.70%,51.20%,-,100.00%,"4,709",0,0,"4,709","1,664","6,373","1,752",472
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"26,365",0,"15,776","42,141","13,272",0,"15,536","28,808","13,093",0,240,"13,333",68.40%,50.30%,-,98.50%,"7,023",0,0,"7,023","1,771","8,794","2,276",197
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"35,824",366,"19,754","55,944","18,893",366,"18,430","37,689","16,931",0,"1,324","18,255",67.40%,52.70%,100.00%,93.30%,"11,170",3,0,"11,173","4,202","15,375","4,670","2,345"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"17,449",0,"26,361","43,810","7,557",0,"24,114","31,671","9,892",0,"2,247","12,139",72.30%,43.30%,-,91.50%,"5,509",0,"1,082","6,591","2,160","8,751","2,041",408
QKS,NHS Kent And Medway Integrated Care Board,"51,681",0,"29,029","80,710","34,817",0,"28,056","62,873","16,864",0,973,"17,837",77.90%,67.40%,-,96.60%,"13,425",0,478,"13,903","3,713","17,616","4,292","1,333"
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","19,393","1,614","11,120","32,127","9,964","1,515","10,975","22,454","9,429",99,145,"9,673",69.90%,51.40%,93.90%,98.70%,"4,839",4,0,"4,843","3,339","8,182","2,237",825
QJM,NHS Lincolnshire Integrated Care Board,"11,291",0,"13,245","24,536","5,154",0,"12,437","17,591","6,137",0,808,"6,945",71.70%,45.60%,-,93.90%,"3,667",0,0,"3,667",992,"4,659","2,052",869
QH8,NHS Mid And South Essex Integrated Care Board,"28,496",0,"2,314","30,810","17,745",0,"2,074","19,819","10,751",0,240,"10,991",64.30%,62.30%,-,89.60%,"7,898",0,251,"8,149","1,047","9,196","2,493",5
QMM,NHS Norfolk And Waveney Integrated Care Board,"22,934",0,"9,853","32,787","11,927",0,"9,852","21,779","11,007",0,1,"11,008",66.40%,52.00%,-,100.00%,"5,678",0,0,"5,678","2,503","8,181","3,397","1,649"
QMJ,NHS North Central London Integrated Care Board,"49,570","5,845","10,100","65,515","30,143","5,778","9,009","44,930","19,427",67,"1,091","20,585",68.60%,60.80%,98.90%,89.20%,"7,225",26,0,"7,251","1,394","8,645","3,923","1,309"
QRV,NHS North West London Integrated Care Board,"47,062","3,504","42,622","93,188","8,409",0,"25,140","33,549","8,937",0,"2,275","11,212",75.00%,48.50%,-,91.70%,"12,959",0,0,"12,959","3,496","16,455","3,685",330
QPM,NHS Northamptonshire Integrated Care Board,"16,736",616,"9,177","26,529","4,727",616,"9,131","14,474","3,420",0,46,"3,466",80.70%,58.00%,100.00%,99.50%,"3,410",0,0,"3,410","1,736","5,146","2,005",705
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"24,329","1,632","9,015","34,976","6,158",0,"8,209","14,367","3,261",0,680,"3,941",78.50%,65.40%,-,92.40%,"6,848",0,0,"6,848","3,779","10,627","2,481",710
QKK,NHS South East London Integrated Care Board,"40,554",618,"35,698","76,870","22,140",618,"32,980","55,738","18,414",0,"2,718","21,132",72.50%,54.60%,100.00%,92.40%,"10,349",0,0,"10,349","2,767","13,116","4,619","1,396"
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,115",0,"4,652","14,767","4,361",0,"4,492","8,853","5,754",0,160,"5,914",60.00%,43.10%,-,96.60%,"2,818",0,41,"2,859","1,517","4,376","1,712",632
QSL,NHS Somerset Integrated Care Board,"12,299",0,"8,614","20,913","7,304",0,"8,336","15,640","4,995",0,278,"5,273",74.80%,59.40%,-,96.80%,"3,524",0,0,"3,524","1,506","5,030",688,65
QWE,NHS South West London Integrated Care Board,"40,198",257,"14,917","55,372","26,956",257,"14,748","41,961","13,242",0,169,"13,411",75.80%,67.10%,100.00%,98.90%,"7,126",5,138,"7,269","1,577","8,846","3,028","1,253"
QF7,NHS South Yorkshire Integrated Care Board,"41,029",995,"11,577","53,601","21,638",995,"11,514","34,147","12,080",0,63,"12,143",73.80%,64.20%,100.00%,99.50%,"11,539",0,441,"11,980","4,548","16,528","3,913",275
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"12,741",388,"7,817","20,946","5,890",388,"7,588","13,866","6,851",0,229,"7,080",66.20%,46.20%,100.00%,97.10%,"4,819",0,0,"4,819","2,412","7,231","1,645",695
QJG,NHS Suffolk And North East Essex Integrated Care Board,"20,910",0,"10,770","31,680","8,183",0,"10,213","18,396","6,025",0,100,"6,125",75.00%,57.60%,-,99.00%,"5,710",0,209,"5,919","2,104","8,023","1,799",179
QXU,NHS Surrey Heartlands Integrated Care Board,"26,323",0,"6,924","33,247","14,297",0,"6,920","21,217","12,026",0,4,"12,030",63.80%,54.30%,-,99.90%,"6,941",0,0,"6,941","2,544","9,485","1,867",267
QNX,NHS Sussex Integrated Care Board,"29,062","1,465","27,603","58,130","15,148","1,452","25,324","41,924","13,914",13,"2,279","16,206",72.10%,52.10%,99.10%,91.70%,"8,564",31,221,"8,816","2,575","11,391","2,617",933
QUA,NHS Black Country Integrated Care Board,"43,952","1,079","26,285","71,316","28,155",841,"25,916","54,912","15,797",238,369,"16,404",77.00%,64.10%,77.90%,98.60%,"14,227",0,0,"14,227","3,470","17,697","4,309",216
QWO,NHS West Yorkshire Integrated Care Board,"62,311",280,"17,962","80,553","29,876",280,"12,541","42,697","16,647",0,16,"16,663",71.90%,64.20%,100.00%,99.90%,"13,954",0,230,"14,184","4,851","19,035","5,101",670
